timestamp,air_temperature,air_humidity,co2,soil_moisture,soil_temperature,cum_irr,irrigation_needed
2019-12-16 13:00:00.287999887,21.2,69.2,647.0,91.94999999999999,22.15,0.2,0
2019-12-17 08:44:59.712000112,17.9,81.5,720.0,91.6,18.5,0.0,0
2019-12-17 08:50:00.384000060,18.0,81.4,710.0,91.4,18.5,0.0,0
2019-12-17 08:55:00.191999714,18.0,81.4,695.0,91.5,18.5,0.0,0
2019-12-17 09:00:00.000000000,17.8,80.8,686.0,91.44999999999999,18.549999999999997,0.0,0
2019-12-17 09:04:59.808000285,18.0,80.8,708.0,91.45,18.549999999999997,0.0,0
2019-12-17 09:09:59.615999939,18.1,80.7,675.0,91.5,18.549999999999997,0.0,0
2019-12-17 09:15:00.287999887,18.2,80.2,678.0,91.4,18.549999999999997,0.0,0
2019-12-17 09:20:00.096000172,18.1,80.6,694.0,91.5,18.6,0.0,0
2019-12-17 09:24:59.903999827,18.4,80.1,663.0,91.45,18.6,0.0,0
2019-12-17 09:29:59.712000112,18.0,80.3,668.0,91.45,18.6,0.0,0
2019-12-17 09:35:00.384000060,18.1,79.4,682.0,91.45,18.6,0.0,0
2019-12-17 09:40:00.191999714,18.3,79.0,681.0,91.45,18.6,0.0,0
2019-12-17 09:45:00.000000000,18.1,79.6,661.0,91.5,18.6,0.0,0
2019-12-17 09:49:59.808000285,18.2,80.4,670.0,91.5,18.6,0.0,0
2019-12-17 09:54:59.615999939,18.3,80.9,656.0,91.6,18.65,0.0,0
2019-12-17 10:00:00.287999887,18.6,78.6,664.0,91.4,18.7,0.0,0
2019-12-17 10:05:00.096000172,19.1,76.7,664.0,91.4,18.75,0.0,0
2019-12-17 10:09:59.903999827,19.0,75.7,648.0,91.45,18.75,0.0,0
2019-12-17 10:14:59.712000112,19.0,75.2,633.0,91.55,18.75,0.0,0
2019-12-17 10:20:00.384000060,18.9,75.3,645.0,91.5,18.8,0.0,0
2019-12-17 10:25:00.191999714,18.9,75.4,645.0,91.4,18.9,0.0,0
2019-12-17 10:30:00.000000000,19.0,74.6,631.0,91.5,18.9,0.0,0
2019-12-17 10:34:59.808000285,19.6,73.1,617.0,91.65,18.950000000000003,0.0,0
2019-12-17 10:39:59.615999939,19.8,71.8,626.0,91.6,19.049999999999997,0.0,0
