hour,air_temperature,air_humidity,co2,soil_moisture,soil_temperature,cum_irr,scenario
0,26.09692298529948,73.26034981044324,845.4837120247463,60.0,25.560084040508652,0.0,Normal Operation
1,25.962538952115437,72.48639045531873,843.52940908203,59.83178973440518,26.404022199087514,0.0,Normal Operation
2,25.103820893873664,72.95763944028187,850.4590008468501,59.26875629359429,25.559433859575833,0.0,Normal Operation
3,25.0,74.48561976948628,862.6450656565747,59.24389165233623,25.939433580597832,0.0,Normal Operation
4,25.0,74.94977318238607,855.6825876107622,59.27606106725359,25.01865228429127,0.0,Normal Operation
5,25.980935386076737,74.02641278784728,852.5377838918973,58.43094115679668,24.79359373327533,0.0,Normal Operation
6,27.43090337734838,70.86125481890559,850.2234415269452,57.765978270964496,26.019182996150988,0.0,Normal Operation
7,29.183557455082205,66.68587265181476,847.1456357893713,57.51249481736386,27.089947275571287,0.0,Normal Operation
8,30.18039464271553,66.57666026045176,820.7959451507817,57.11581809323363,28.04098894525666,0.0,Normal Operation
9,32.911712883352216,63.145473516585724,816.4461083205314,56.781660617148816,30.33286307077108,0.0,Normal Operation
10,35.01774120904936,63.18343319767552,804.8638443870107,56.17557002678625,31.950852348132955,0.0,Normal Operation
11,35.90925188565679,62.54001316483475,787.4074449790203,56.080296900388525,32.27122704787029,0.0,Normal Operation
12,36.25490787985441,60.41773707010529,773.1635022476538,55.951085402218666,31.92404395969354,0.0,Normal Operation
13,36.55650654148971,60.802293146175174,769.2105794282173,55.605329546072134,31.609114721633198,0.0,Normal Operation
14,36.186824315040575,62.44340071073924,757.7422067916581,55.58163366501214,31.838029213698903,0.0,Normal Operation
15,36.20675783381898,62.381494415317405,745.3701509138083,55.35981888934956,33.18339443415936,0.0,Normal Operation
16,35.26548661410004,61.19492380783032,759.207802726483,54.74937628434359,32.430416391752836,0.0,Normal Operation
17,35.00940129808679,62.01850675697486,782.3482506578325,54.509907506587474,31.373377357010146,0.0,Normal Operation
18,33.539751122418664,63.846123244887316,789.7845187597264,53.88684521511459,30.423406699687643,0.0,Normal Operation
19,31.926782902635686,66.55266133927088,811.775527503026,53.83111247648041,30.01947268421165,0.0,Normal Operation
20,31.75055821940704,67.5528618107972,816.3051693825166,53.498629120990465,29.990811875324383,0.0,Normal Operation
21,29.43398238046297,66.81552775608289,814.4142672864587,53.14883058812226,27.593724106666656,0.0,Normal Operation
